संस्कृतम्,विभक्ति:,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
क्रोधे,B-G,क्रोध{7}{पुं-ए.},क्रोध+{में/पर},क्रोध में,in anger
क्षमया,B-C,क्षमा{3}{स्त्री-ए.},क्षमा+{से3},क्षमा में,in forbearance
पृथिवी-समः,B-A,पृथिवी-सम{1}{पुं-ए.},पृथिवी-सम+{0/ने},पृथिवी के समान,counter part of earth
18,-,18,18,18,18
9.1.Aधनदेन,9.1.CB-C,9.1.Dधनद{3}{पुं-ए.},9.1.Eधनद+{से3},9.1.Fकुबेर के,9.1.Gwith Kubera (the god of wealth)
समः,B-A,सम{1}{पुं-ए.},सम+{0/ने},समान,just like
त्यागे,B-G,त्याग{7}{पुं-ए.},त्याग+{में/पर},दान में,in liberality
सत्ये,B-G,सत्य{7}{नपुं-ए.},सत्य+{में/पर},सत्य में,in truthfulness
धर्मः,B-A,धर्म{1}{पुं-ए.},धर्म+{0/ने},धर्मदेव,the god of piety
इव,-,इव,इव,के समान,like
अपरः,B-A,अपर{1}{पुं-ए.},अपर+{0/ने},दूसरा,another
9.2.Aतम्,9.2.CB-B,9.2.Dतद्{2}{पुं-ए.},9.2.Eतद्+{को2},9.2.Fराम को,9.2.Gaforesaid
एवं-गुण-सम्पन्नम्,B-B,एवंगुणसम्पन्न{2}{पुं-ए.},एवंगुणसम्पन्न+{को2},पूर्व में कहे गए गुणों से सम्पन्न,endowed with the aforesaid qualities
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by shri Rama
सत्य-परा-क्रमम्,-,सत्य-परा-क्रम{2}{पुं-ए.},सत्य-परा-क्रम+{को2},अमोघ पराक्रम वाले,possessed of unfailing prowess
10.1.Aज्येष्ठं,10.1.CB-B,10.1.Dज्येष्ठ{2}{पुं-ए.},10.1.Eज्येष्ठ+{को2},10.1.Fसबसे बडे,10.1.Geldest
ज्येष्ठ-गुणैः,B-C,ज्येष्ठगुण{3}{पुं-ब.},ज्येष्ठगुण+{से3},उत्तम गुणों से,with highest virtues
युक्तम्,B-B,युक्त{2}{पुं-ए.},युक्त+{को2},लगे हुए,endowed
प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be loved
दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},पुत्र को,son
10.2.Aप्रकृतीनां,10.2.CB-F,10.2.Dप्रकृति{6}{स्त्री-ब.},10.2.Eप्रकृति+{का},10.2.Fप्रजा के,10.2.Gof the people
हितैः,B-C,हित{3}{नपुं-ब.},हित+{से3},कल्याण में,to the interests
युक्तम्,B-B,युक्त{2}{पुं-ए.},युक्त+{को2},लगे हुए,endowed
प्रकृति-प्रिय-काम्यया,B-C,प्रकृति-प्रिय-काम्या{3}{स्त्री-ए.},प्रकृति-प्रिय-काम्या+{से3},प्रजा कल्याण की इच्छा से,with intent to gratify the people
11.1.Aयौवराज्येन,11.1.CB-C,11.1.Dयौवराज्य{3}{नपुं-ए.},11.1.Eयौवराज्य+{से3},11.1.Fयौवराज्येन,11.1.Goffice of regent
संयोक्तुम्,-,संयोक्तुम्,संयोक्तुम्,आरूढ करने के लिए,to invest with office of regent
ऐच्छत्,B-v,इष{कर्तरि लङ् प्रपु एक},इष{कर्तरि लङ् प्रपु एक},चाहा,sought
प्रीत्या,B-C,प्रीति{3}{स्त्री-ए.},प्रीति+{से3},सहर्ष,lovingly
मही-पतिः,B-A,मही-पति{1}{पुं-ए.},मही-पति+{0/ने},राजा,Emperor
11.2.Aतस्य,11.2.CB-F,11.2.Dतद्{6}{पुं-ए.},11.2.Eतद्+{का},11.2.Fराम के,11.2.Gof Rama
अभिषेक-सम्भारान्,B-B,अभिषेक-संभार{2}{पुं-ब.},अभिषेक-संभार+{को2},अभिषेक प्रस्तुति को,preparations for coronation
दृष्ट्वा,-,दृष्ट्वा,दृष्ट्वा,देखकर,having witnessed
भार्या,B-A,भार्या{1}{स्त्री-ए.},भार्या+{0/ने},भार्या,spouse
अथ,-,अथ,अथ,इसके पश्चात्,After that
कैकयी,B-A,कैकयी{1}{स्त्री-ए.},कैकयी+{0/ने},केकय नरेश की पुत्री,Kaikeyi
21,-,21,21,21,21
12.1.Aपूर्वम्,12.1.CB-B,12.1.Dपूर्व{2}{नपुं-ए.},12.1.Eपूर्व+{को2},12.1.Fपूर्व में,12.1.Gon a former occassion
दत्त-वरा,B-A,दत्त-वरा{1}{स्त्री-ए.},दत्त-वरा+{0/ने},वर को प्राप्त की हुई,having granted a boon
देवी,B-A,देवी{1}{स्त्री-ए.},देवी+{0/ने},देवी,queen
वरम्,B-B,वर{2}{पुं-ए.},वर+{को2},वर,boon
एनम्,B-B,एतद्{2}{पुं-ए.},एतद्+{को2},दशरथ से,him(to Dasharatha)
अयाचत,B-v,याच्{कर्तरि लङ् प्रपु एक},याच्{कर्तरि लङ् प्रपु एक},मांगा,asked
12.2.Aवि-वासनम्,12.2.CB-B,12.2.Dवि-वासन{2}{नपुं-ए.},12.2.Eवि-वासन+{को2},12.2.Fनिर्वासनम्,12.2.Gexile (of Rama)
च,-,च,च,और,and
रामस्य,B-F,राम{6}{पुं-ए.},राम+{का},राम की,of Rama
भरतस्य,-,भरत{6}{पुं-ए.},भरत+{का},भरत का,of Barawa
अभि-षेचनम्,B-B,अभिषेचन{2}{नपुं-ए.},अभिषेचन+{को2},राज्याभिषेकम्,installation(of Bharata)
22,-,22,22,22,22
13.1.Aसः,13.1.CB-A,13.1.Dतद्{1}{पुं-ए.},13.1.Eतद्+{0/ने},13.1.Fवह,13.1.Ghe
सत्य-वचनात्,B-A,सत्यवचन{5}{पुं-ए.},सत्यवचन+{से},सत्य प्रतिज्ञ होने के कारण,due to his speaking the truth
राजा,B-A,राजन्{1}{पुं-ए.},राजन्+{0/ने},राजा,king
धर्म-पाशेन,B-C,धर्मपाश{3}{पुं-ए.},धर्मपाश+{से3},धर्म बन्धन से,by the tie of duty
संयतः,B-A,संयत{1}{पुं-ए.},संयत+{0/ने},बँधा हुआ,bound
13.2.Aवि-वासयामास,13.2.CB-v,13.2.Dवि+वस्+णिच्{कर्तरि लिट् प्रपु एक},13.2.Eवि+वस्+णिच्{कर्तरि लिट् प्रपु एक},13.2.Fनिर्वासित किया,13.2.Gexiled
सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},पुत्र को,son
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by shri Rama
दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be loved
14.1.Aसः,14.1.CB-A,14.1.Dतद्{1}{पुं-ए.},14.1.Eतद्+{0/ने},14.1.Fवह,14.1.Ghe
जगाम,B-v,गम्{कर्तरि लिट् प्रपु एक},गम्{कर्तरि लिट् प्रपु एक},गये,went
वनं,B-B,वन{2}{नपुं-ए.},वन+{को2},वन [को],to the forest
वीरः,B-A,वीर{1}{पुं-ए.},वीर+{0/ने},वीर,the hero (Rama)
प्रति-ज्ञाम्,B-B,प्रतिज्ञा{2}{स्त्री-ए.},प्रतिज्ञा+{को2},प्रतिज्ञा का,the pledge
अनु-पालयन्,-,अनु-पालयत्{1}{पुं-ए.},अनु-पालयत्+{0/ने},पालन करते हुए,in order to implement
14.2.Aपितुः,14.2.CB-F,14.2.Dपितृ{6}{पुं-ए.},14.2.Eपितृ+{का},14.2.Fपिता,14.2.Ghis father's
वचन-निर्देशात्,-,वचन-निर्देश{5}{पुं-ए.},वचन-निर्देश+{से},की आज्ञा से,in obedience to command
कैकेय्याः,-,कैकेयी{6}{पुं-ए.},कैकेयी+{का},कैकेयी की,Kaikeyi
प्रिय-कारणात्,-,प्रिय-कारण{5}{पुं-ए.},प्रिय-कारण+{से},प्रसन्नता के कारण,with a view to please
15.1.Aतम्,15.1.CB-B,15.1.Dतद्{2}{पुं-ए.},15.1.Eतद्+{को2},15.1.Fराम को,15.1.Gaforesaid
व्रजन्तम्,B-B,व्रजन्त{2}{पुं-ए.},व्रजन्त+{को2},जाते हुए,setting out
प्रियः,B-A,प्रिय{1}{पुं-ए.},प्रिय+{0/ने},प्रिय,loving
भ्राता,B-A,भ्रातृ{1}{पुं-ए.},भ्रातृ+{0/ने},भाई,younger brother
लक्ष्मणः,B-A,लक्ष्मण{1}{पुं-ए.},लक्ष्मण+{0/ने},लक्ष्मण,Lakshmana
अनु-जगाम,B-v,अनु-गम्{कर्तरि लिट् प्रपु एक},अनु-गम्{कर्तरि लिट् प्रपु एक},अनुसरण किया,followed
ह,-,ह,ह,ह,ह
15.2.Aस्नेहात्,15.2.CB-A,15.2.Dस्नेह{5}{पुं-ए.},15.2.Eस्नेह+{से},15.2.Fस्नेह से,15.2.Gout of affection
विनय-सम्पन्नः,B-A,विनयसम्पन्न{1}{पुं-ए.},विनयसम्पन्न+{0/ने},विनम्र,adorned with modesty
सुमित्रानन्द-वर्धनः,B-A,सुमित्रानन्दवर्धन{1}{पुं-ए.},सुमित्रानन्दवर्धन+{0/ने},सुमित्रा की प्रीति को बढाने वाले,one who enhanced the delight of(his mother) Sumitra
25,-,25,25,25,25
16.1.Aभ्रातरम्,16.1.CB-B,16.1.Dभ्रातृ{2}{पुं-ए.},16.1.Eभ्रातृ+{को2},16.1.Fभाई को,16.1.Gbrother
दयितः,B-A,दयित{1}{पुं-ए.},दयित+{0/ने},प्रिय,favorite
भ्रातुः,B-F,भ्रातृ{6}{पुं-ए.},भ्रातृ+{का},भाई के,of(his)brother
सौभ्रात्रम्,B-B,सौभ्रात्र{2}{नपुं-ए.},सौभ्रात्र+{को2},उत्तमभ्रातृत्व,his amicable brotherly relation
अनु-दर्शयन्,B-A,अनुदर्शयत्{1}{पुं-ए.},अनुदर्शयत्+{0/ने},प्रदर्शित करता हुआ,showing
16.2.Aरामस्य,16.2.CB-F,16.2.Dराम{6}{पुं-ए.},16.2.Eराम+{का},16.2.Fराम की,16.2.Gof Rama
दयिता,B-A,दयिता{1}{स्त्री-ए.},दयिता+{0/ने},प्रिया,the beloved
भार्या,B-A,भार्या{1}{स्त्री-ए.},भार्या+{0/ने},भार्या,spouse
नित्यं,B-B,नित्य{2}{नपुं-ए.},नित्य+{को2},हमेशा,ever
प्राण-समा,B-A,प्राणसमा{1}{स्त्री-ए.},प्राणसमा+{0/ने},प्राण-समा,dear(to him) as life
हिता,B-A,हिता{1}{स्त्री-ए.},हिता+{0/ने},हित करने वाली,friendly
26,-,26,26,26,26
17.1.Aजनकस्य,17.1.CB-F,17.1.Dजनक{6}{पुं-ए.},17.1.Eजनक+{का},17.1.Fमिथिला नरेश के,17.1.GJanaka's
कुले,B-G,कुल{7}{पुं-ए.},कुल+{में/पर},वंश में,in family
जाता,B-A,जाता{1}{स्त्री-ए.},जाता+{0/ने},उत्पन्न,born
देव-माया,B-A,देवमाया{1}{स्त्री-ए.},देवमाया+{0/ने},मोहिनी,like lord's wonderful poetency
इव,-,इव,इव,के समान,like
निर्मिता,B-A,निर्मिता{1}{स्त्री-ए.},निर्मिता+{0/ने},निर्मिता,manifested
17.2.Aसर्व-लक्षण-सम्पन्ना,17.2.CB-A,17.2.Dसर्वलक्षणसम्पन्ना{1}{स्त्री-ए.},17.2.Eसर्वलक्षणसम्पन्ना+{0/ने},17.2.Fसभी उत्तम स्त्री के लक्षण से युक्त,17.2.Gendowed with all auspicious marks
नारीणाम्,B-F,नारी{6}{स्त्री-ब.},नारी+{का},स्त्रियों में,amongst the women
उत्तमा,B-A,उत्तमा{1}{स्त्री-ए.},उत्तमा+{0/ने},श्रेष्ठ,best
वधूः,-,वधू{1}{स्त्री-ए.},वधू+{0/ने},वधू,the daughter-in-law
27,-,27,27,27,27
18.1.Aसीता,18.1.C-,18.1.Dसीता{1}{स्त्री-ए.},18.1.Eसीता+{0/ने},18.1.Fसीता,18.1.Gsita
अपि,-,अपि,अपि,भी,also
अनु-गता,-,अनु-गता{1}{स्त्री-ए.},अनु-गता+{0/ने},के पीछे गई,accompanied
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by shri Rama
शशिनम्,-,शशिन्{2}{पुं.-ए.},शशिन्{को2},चन्द्र,moon
रोहिणी,-,रोहिणी{1}{स्त्री-ए.},रोहिणी+{0/ने},चन्द्रमा की पत्नी रोहिणी,Rohini(wife of the moon)
यथा,-,यथा,यथा,के जैसे,like
18.2.Aपौरैः,18.2.CB-C,18.2.Dपौर{3}{पुं-ब.},18.2.Eपौर+{से3},18.2.Fपुरवासियों के द्वारा,18.2.Gby the citizens(of Ayodhya)
अनुगतः,B-A,अनुगत{1}{पुं-ए.},अनुगत+{0/ने},अनुसरण किया गया,followed
दूरम्,B-B,दूर{2}{नपुं-ए.},दूर+{को2},दूर तक,a far
पित्रा,B-C,पितृ{3}{पुं-ए.},पितृ+{से3},पिता,by father
दशरथेन,B-C,दशरथ{3}{पुं-ए.},दशरथ+{से3},दशरथ के द्वारा,by Dasharatha
च,-,च,च,और,and
28,-,28,28,28,28
19.1.Aशृङ्गवेर-पुरे,19.1.CB-G,19.1.Dशृङ्गवेरपुर{7}{नपुं-ए.},19.1.Eशृङ्गवेरपुर+{में/पर},19.1.Fशृङ्गवेरपुर में,19.1.Gat shringaverapura
सूतं,B-B,सूत{2}{पुं-ए.},सूत+{को2},सूतं,to the Charioteer
गङ्गा-कूले,B-G,गङ्गाकूल{7}{नपुं-ए.},गङ्गाकूल+{में/पर},गङ्गा के तीर पर,on the bank of Ganga
व्यसर्जयत्,B-v,वि सृज्+णिच्{कर्तरि लङ् प्रपु एक},वि सृज्+णिच्{कर्तरि लङ् प्रपु एक},लौटा दिया,sent away
19.2.Aगुहम्,19.2.CB-B,19.2.Dगुह{2}{पुं-ए.},19.2.Eगुह+{को2},19.2.Fगुह को,19.2.Gto Guha
आसाद्य,-,आसाद्य,आसाद्य,प्राप्त कर,having met
धर्मात्मा,B-A,धर्मात्मन्{1}{पुं-ए.},धर्मात्मन्+{0/ने},पुण्यात्मा (राम ने),virtue-incarnate
निषादाधिपतिं,B-B,निषादाधिपति{2}{पुं-ए.},निषादाधिपति+{को2},निषदों के राजा,the chief of Nishadas
प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be loved
29,-,29,29,29,29
20.1.Aगुहेन,20.1.CB-C,20.1.Dगुह{3}{पुं-ए.},20.1.Eगुह+{से3},20.1.Fगुह,20.1.GGuha by name
सहितः,B-A,सहित{1}{पुं-ए.},सहित+{0/ने},के साथ,accompanied
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
लक्ष्मणेन,B-C,लक्ष्मण{3}{पुं-ए.},लक्ष्मण+{से3},लक्ष्मण,Lakshmana
च,-,च,च,और,and
सीतया,B-C,सीता{3}{स्त्री-ए.},सीता+{से3},सीता,by Sita
20.2.Aते,20.2.CB-A,20.2.Dतद्{1}{पुं-ब.},20.2.Eतद्+{0/ने},20.2.Fवे,20.2.Gthey
वनेन,B-C,वन{3}{नपुं-ए.},वन+{से3},वन से,from forest
वनम्,B-B,वन{2}{नपुं-ए.},वन+{को2},वन [को],to forest
गत्वा,-,गत्वा,गत्वा,जाकर,having gone
नदीः,B-B,नदी{2}{स्त्री-ब.},नदी+{को2},नदियों को,rivers
तीर्त्वा,-,तीर्त्वा,तीर्त्वा,पार कर,having crossed
बहूदकाः,B-B,बहूदका{2}{स्त्री-ब.},बहूदका+{को2},गहरी,containing deep water
30,-,30,30,30,30
21.1.Aचित्रकूटम्,21.1.CB-B,21.1.Dचित्रकूट{2}{पुं-ए.},21.1.Eचित्रकूट+{को2},21.1.Fचित्रकूटनामक पर्वत को,21.1.GCitrakuta (mountain)
अनु-प्राप्य,-,अनुप्राप्य,अनुप्राप्य,प्राप्तकर,having reached
भरद्वाजस्य,B-F,भरद्वाज{6}{पुं-ए.},भरद्वाज+{का},भरद्वाज नामक ऋषि की,of the Bharadvaja
शासनात्,B-A,शासन{5}{पुं-ए.},शासन+{से},आज्ञा से,according to the instruction
21.2.Aरम्यम्,21.2.CB-B,21.2.Dरम्य{2}{पुं-ए.},21.2.Eरम्य+{को2},21.2.Fमनोहर,21.2.Glovely
आवसथं,B-B,आवसथ{2}{पुं-ए.},आवसथ+{को2},पर्णशाला को,cottage
कृत्वा,-,कृत्वा,कृत्वा,(करके) निर्माण करके,having built
रममाणाः,B-A,रममाण{1}{पुं-ब.},रममाण+{0/ने},विहार करते हुए,sporting
वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन में,in the forest
त्रयः,B-A,त्रि{1}{पुं-ब.},त्रि+{0/ने},तीनों{राम लक्ष्मण सीता} ने,three (Rama Lakshmana and Sita)
31,-,31,31,31,31
22.1.Aदेव-गन्धर्व-सङ्काशाः,22.1.CB-A,22.1.Dदेवगन्धर्वसङ्काश{1}{पुं-ब.},22.1.Eदेवगन्धर्वसङ्काश+{0/ने},22.1.Fदेवता और गन्धर्व के समान,22.1.Glike Gods and Gandharvas
तत्र,-,तत्र,तत्र,वहाँ,there
ते,B-A,तद्{1}{पुं-ब.},तद्+{0/ने},वे,they
न्यवसन्,B-v,नि+वस्{कतरि लङ् प्रपु बहु},नि+वस्{कतरि लङ् प्रपु बहु},निवास किया,sojourned
सुखम्,B-B,सुख{2}{नपुं-ए.},सुख+{को2},सुखपूर्वक,happily
1.ASloka,1.C-,1.DSloka,1.ESloka,1.FSloka,1.GSloka
2.1.Aचित्रकूटम्,2.1.CB-B,2.1.Dचित्रकूट{2}{पुं-ए.},2.1.Eचित्रकूट+{को2},2.1.Fचित्रकूट,2.1.Gto Citrakuta
गते,B-G,गत{7}{पुं-ए.},गत+{में/पर},चले जाने पर,having proceeded
रामे,B-G,राम{7}{पुं-ए.},राम+{में/पर},राम (के),shri Rama
पुत्र-शोकातुरः,B-A,पुत्रशोकातुर{1}{पुं-ए.},पुत्रशोकातुर+{0/ने},पुत्र शोक से व्याकुल,stricken with grief at the separation of his son
तथा,-,तथा,तथा,तथा,then
32,-,32,32,32,32
3.1.Aराजा,3.1.CB-A,3.1.Dराजन्{1}{पुं-ए.},3.1.Eराजन्+{0/ने},3.1.Fराजा,3.1.Gthe ruler(King)
दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
स्वर्गम्,B-B,स्वर्ग{2}{पुं-ए.},स्वर्ग+{को2},स्वर्ग,to heaven
जगाम,B-v,गम्{कर्तरि लिट् प्रपु एक},गम्{कर्तरि लिट् प्रपु एक},गया,proceeded
वि-लपन्,B-A,विलपत्{1}{पुं-ए.},विलपत्+{0/ने},रोते हुए,bewailing
सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},सुतम्,son (Rama)
गते,B-G,गत{7}{पुं-ए.},गत+{में/पर},चले जाने पर,having proceeded
तु,-,तु,तु,किन्तु,but
तस्मिन्,B-G,तद्{7}{नपुं-ए.},तद्+{में/पर},उस (राजा दशरथ) के,तस्मिन्
भरतः,-,भरतः{1}{पुं-ए.},भरतः+{0/ने},भरत,Bharata
वसिष्ठ-प्रमुखैः,-,वसिष्ठ-प्रमुख{3}{पुं-ब.},वसिष्ठ-प्रमुख+{से3},वसिष्ठ की प्रधानता वाले,headed by the sage Vasishtha etc.
द्विजैः,B-C,द्विज{3}{पुं-ब.},द्विज+{से3},ब्राह्मणों के द्वारा,by the Brahmanas
33,-,33,33,33,33
4.1.Aनि-युज्यमानः,4.1.CB-A,4.1.Dनियुज्यमान{1}{पुं-ए.},4.1.Eनियुज्यमान+{0/ने},4.1.Fनियुक्त किया जाता हुआ,4.1.Gbeing urged
राज्याय,B-D,राज्य{4}{नपुं-ए.},राज्य+{को4},राज्य के लिए,to rule over the kingdom
न,-,न,न,न,(did)not
ऐच्छत्,B-v,इष{कर्तरि लङ् प्रपु एक},इष{कर्तरि लङ् प्रपु एक},चाहा,hanker
राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य,for the kingdom
महा-बलः,B-A,महाबल{1}{पुं-ए.},महाबल+{0/ने},महान् बली,very powerful
सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह (भरत),he(Bharata)
जगाम,B-v,गम्{कर्तरि लिट् प्रपु एक},गम्{कर्तरि लिट् प्रपु एक},गया,proceeded
वनम्,B-B,वन{2}{नपुं-ए.},वन+{को2},वन,forest
वीरः,B-A,वीर{1}{पुं-ए.},वीर+{0/ने},वीर,the hero
राम-पाद-प्रसादकः,B-A,रामपादप्रसादक{1}{पुं-ए.},रामपादप्रसादक+{0/ने},राम चरण को प्रसन्न करने के लिए,in order to please the venerable Rama
34,-,34,34,34,34
5.1.Aगत्वा,5.1.C-,5.1.Dगत्वा,5.1.Eगत्वा,5.1.Fजा कर,5.1.Ghaving approached
तु,-,तु,तु,किन्तु,but
सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह (भरत),he(Bharata)
महात्मानम्,B-B,महात्मन्{2}{पुं-ए.},महात्मन्+{को2},महात्मा,high souled
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम (से),to Rama
सत्य-पराक्रमम्,B-B,सत्यपराक्रम{2}{पुं-ए.},सत्यपराक्रम+{को2},सत्य पराक्रम वाले,having unfailing prowess
अयाचत्,B-v,याच्{कर्तरि लङ् प्रपु एक},याच्{कर्तरि लङ् प्रपु एक},माँगा,implored
भ्रातरम्,B-B,भ्रातृ{2}{पुं-ए.},भ्रातृ+{को2},भ्राता,brother
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम (से),to Rama
आर्य-भाव-पुरस्कृतः,B-A,आर्यभावपुरस्कृत{1}{पुं-ए.},आर्यभावपुरस्कृत+{0/ने},उच्चगुण सम्पन्न,rich in noble sentiment
35,-,35,35,35,35
6.1.Aत्वम्,6.1.CB-A,6.1.Dयुष्मद्{1}{ए.},6.1.Eयुष्मद्+{0/ने},6.1.Fतुम,6.1.Gyou
एव,-,एव,एव,ही,alone
राजा,B-A,राजन्{1}{पुं-ए.},राजन्+{0/ने},राजा,the ruler(King)
धर्म-ज्ञः,B-A,धर्मज्ञ{1}{पुं-ए.},धर्मज्ञ+{0/ने},धर्म के ज्ञाता,knower of right deed
इति,-,इति,इति,ऐसा,thus
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम (से),to Rama
वचः,B-B,वचस्{2}{नपुं-ए.},वचस्+{को2},वचन,(following)words
अब्रवीत्,B-v,ब्रू{कर्तरि लुङ् प्रपु ए.},ब्रू{कर्तरि लुङ् प्रपु ए.},कहा,spoke out
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,Rama (the son of Dasharatha)
अपि,-,अपि,अपि,भी,too
परमोदारः,B-A,परमोदार{1}{पुं-ए.},परमोदार+{0/ने},परम उदार ,supreme magnanimous
सु-मुखः,B-A,सुमुख{1}{पुं-ए.},सुमुख+{0/ने},सुन्दर मुख वाला,wearing a gracious aspect
सु-महा-यशाः,B-A,सुमहायशस्{1}{पुं-ए.},सुमहायशस्+{0/ने},सुविख्यात,enjoying a great renown
36,-,36,36,36,36
7.1.Aन,7.1.C-,7.1.Dन,7.1.Eन,7.1.Fन,7.1.G(did)not
च,-,च,च,भी,च
ऐच्छत्,B-v,इष{कर्तरि लङ् प्रपु एक},इष{कर्तरि लङ् प्रपु एक},चाहा,hanker
पितुः,B-F,पितृ{6}{पुं-ए.},पितृ+{का},पिता के,father's
आदेशात्,B-A,आदेश{5}{पुं-ए.},आदेश+{से},आदेश से,decree
राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य,for the kingdom
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,Rama (the son of Dasharatha)
महा-बलः,B-A,महाबल{1}{पुं-ए.},महाबल+{0/ने},महान् बली,very powerful
पादुके,B-B,पादुका{2}{स्त्री-द्वि.},पादुका+{को2},पादुका,pair of wooden sandals
च,-,च,च,भी,too
अस्य,B-F,इदम्{6}{ए.},इदम्+{का},अस्य,his
राज्याय,B-D,राज्य{4}{नपुं-ए.},राज्य+{को4},राज्य के लिए,to rule over the kingdom
न्यासम्,B-B,न्यास{2}{पुं-ए.},न्यास+{को2},धरोहर,(as his)representative
दत्वा,-,दत्वा,दत्वा,देकर,handing over
