संस्कृतम्,विभक्ति:,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
पुनः,-,पुनः,पुनः,पुनः,repeatedly
पुनः,-,पुनः,पुनः,पुनः,repeatedly
37,-,37,37,37,37
8.1.Aनि-वर्तयामास,8.1.CB-v,8.1.Dनि+वृत्+णिच्{कर्तरि लिट् प्रपु एक},8.1.Eनि+वृत्+णिच्{कर्तरि लिट् प्रपु एक},8.1.Fलौटाया,8.1.Gpersuaded (him) to return
ततः,B-A,तत{1}{पुं-ए.},तत+{0/ने},ततः,from there
भरतं,B-B,भरत{2}{पुं-ए.},भरत+{को2},भरत को,Bharata
भरताग्रजः,B-A,भरताग्रज{1}{पुं-ए.},भरताग्रज+{0/ने},भरत के अग्रज,the elder brother of Bharata
सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह (भरत),he(Bharata)
कामम्,B-B,काम{2}{पुं-ए.},काम+{को2},मनोरथ को,(his)ambition
अनवाप्य,-,अनवाप्य,अनवाप्य,न प्राप्त कर,without realizing
एव,-,एव,एव,ही,alone
राम-पादौ,B-B,रामपाद{2}{पुं-द्वि.},रामपाद+{को2},राम के चरण को,the feet (of shri Rama)
उप-स्पृशन्,B-A,उपस्पृशत्-त्{1}{पुं-ए.},उपस्पृशत्-त्+{0/ने},नमस्कार करते हुऐ,by touching
38,-,38,38,38,38
9.1.Aनन्दि-ग्रामे,9.1.CB-G,9.1.Dनन्दिग्राम{7}{पुं-ए.},9.1.Eनन्दिग्राम+{में/पर},9.1.Fनन्दिग्राम नामक स्थान में,9.1.Gat Nandigrama
अकरोत्,B-v,कृ{कर्तरि लङ् प्रपु एक},कृ{कर्तरि लङ् प्रपु एक},किया,did
राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य,for the kingdom
राम-गमन-काङ्क्षया,B-C,राम-गमन-काङ्क्षा{3}{स्त्री-ए.},राम-गमन-काङ्क्षा+{से3},राम के आने की अभिलाषा से,longing for the return of shri Rama
गते,B-G,गत{7}{पुं-ए.},गत+{में/पर},चले जाने पर,having proceeded
तु,-,तु,तु,किन्तु,but
भरते,B-G,भरत{7}{पुं-ए.},भरत+{में/पर},भरत,Bharata
श्रीमान्,B-A,श्रीमत्{1}{पुं-ए.},श्रीमत्+{0/ने},श्रीसम्पन्न,the glorious
सत्य-सन्धः,B-A,सत्यसन्ध{1}{पुं-ए.},सत्यसन्ध+{0/ने},सत्यप्रतिज्ञ,of unfailing vow
जितेन्द्रियः,B-A,जितेन्द्रिय{1}{पुं-ए.},जितेन्द्रिय+{0/ने},जितेन्द्रिय,conquerer of sense organs
39,-,39,39,39,39
10.1.Aरामः,10.1.CB-A,10.1.Dराम{1}{पुं-ए.},10.1.Eराम+{0/ने},10.1.Fराम,10.1.GRama (the son of Dasharatha)
तु,-,तु,तु,किन्तु,but
पुनः,-,पुनः,पुनः,पुनः,the renewed
आ-लक्ष्य,-,आ-लक्ष्य,आ-लक्ष्य,विचार कर,anticipating
नागरस्य,B-F,नागर{6}{पुं-ए.},नागर+{का},नगरनिवासी,living in the city
जनस्य,B-F,जन{6}{पुं-ए.},जन+{का},लोगों के,of the people
च,-,च,च,भी,too
तत्र,-,तत्र,तत्र,चित्रकूट पर्वत पर,in Citrakuta-mountain
आ-गमनम्,B-B,आगमन{2}{नपुं-ए.},आगमन+{को2},आगमन,visit
एकाग्रः,B-A,एकाग्र{1}{पुं-ए.},एकाग्र+{0/ने},एकाग्र चित्तवाले,intent on one object
दण्डकान्,B-B,दण्डक{2}{पुं-ब.},दण्डक+{को2},दण्डक नाम के वन में,to Dandakaranya
प्र-विवेश,B-v,प्र+विश्{कर्तरि लिट् प्रपु एक},प्र+विश्{कर्तरि लिट् प्रपु एक},प्रवेश कर गये,entered
ह,-,ह,ह,ह,ह
40,-,40,40,40,40
1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.GSloka
2.1.Aप्र-विश्य,2.1.C-,2.1.Dप्रविश्य,2.1.Eप्रविश्य,2.1.Fप्रवेश कर,2.1.Ghaving entered
तु,-,तु,तु,और,and
महारण्यम्,B-B,महारण्य{2}{नपुं-ए.},महारण्य+{को2},विशाल वन (में),Great forest
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम ने,Rama
राजीव-लोचनः,B-A,राजीव-लोचन{1}{पुं-ए.},राजीव-लोचन+{0/ने},कमल जैसे नेत्रों वाला,Lotus-eyed
विराधम्,B-B,विराध{2}{पुं-ए.},विराध+{को2},विराध को,Viradha
राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस (से),demon
हत्वा,-,हत्वा,हत्वा,मारकर,having killed
शरभङ्कम्,-,शरभङ्क{2}{पुं-ए.},शरभङ्क+{को2},शरभङ्कम्,a sage called Sarabhanga
ददर्श,B-v,दृश्{कर्तरि लिट् प्रपु एक},दृश्{कर्तरि लिट् प्रपु एक},देखा,saw
ह,-,ह,ह,निश्चय ही,of course
41,-,41,41,41,41
3.1.Aसुतीक्ष्णम्,3.1.C-,3.1.Dसुतीक्ष्ण{2}{पुं-ए.},3.1.Eसुतीक्ष्ण+{को2},3.1.Fसुतीक्ष्ण को,3.1.Gsutikshna by name
च,-,च,च,भी,also
अपि,-,अपि,अपि,अपि,अपि
अगस्त्यम्,-,अगस्त्य{2}{पुं-ए.},अगस्त्य+{को2},अगस्त्य को,Agastya by name
च,-,च,च,भी,also
अगस्त्य-भ्रातरम्,B-B,अगस्त्य-भ्रातृ{2}{पुं-ए.},अगस्त्य-भ्रातृ+{को2},अगस्त्य के भ्राता को,to Agastya's brother
तथा,-,तथा,तथा,और,and
अगस्त्य-वचनात्,B-A,अगस्त्य-वचन{5}{नपुं-ए.},अगस्त्य-वचन+{से},अगस्त्य के कहने से,at the instance of Agastya
च,-,च,च,भी,also
एव,-,एव,एव,ही,alone
जग्राह,B-v,ग्रह्{कर्तरि लिट् प्रपु एक},ग्रह्{कर्तरि लिट् प्रपु एक},लिया,accepted
ऐन्द्रम्,B-B,ऐन्द्र{2}{नपुं-ए.},ऐन्द्र+{को2},इन्द्र के द्वारा प्रदत्त,bestowed by Indra
शरासनम्,B-B,शरासन{2}{नपुं-ए.},शरासन+{को2},धनुष को,a bow
4.1.Aखड्गम्,4.1.CB-A,4.1.Dखड्ग{1}{पुं-ए.},4.1.Eखड्ग+{0/ने},4.1.Fतलवार को,4.1.Ga sword
च,-,च,च,भी,also
परम-प्रीतः,B-A,परम-प्रीत{1}{पुं-ए.},परम-प्रीत+{0/ने},अत्यधिक प्रसन्न,with supreme delight
तूणी,B-B,तूणि{2}{पुं-द्वि.},तूणि+{को2},निषङ्गों को,a pair of quivers 
च,-,च,च,भी,also
अक्षय-सायकौ,B-B,अक्षय-सायक{2}{पुं-द्वि.},अक्षय-सायक+{को2},विनाश रहित बाणा वाले,containing inexhaustible store of arrows
वसतः,B-F,वसत्{6}{पुं-ए.},वसत्+{का},निवास करते हुए,dwelling
तस्य,B-F,तद्{6}{पुं-ए.},तद्+{का},उसके,his
रामस्य,B-F,राम{6}{पुं-ए.},राम+{का},राम के,rAma's
वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन में,in forest
वन-चरैः,B-C,वन-चर{3}{पुं-ब.},वन-चर+{से3},वनचरों के,the foresters
सह,-,सह,सह,साथ,with
43,-,43,43,43,43
5.1.Aऋषयः,5.1.CB-A,5.1.Dऋषि{1}{पुं-ब.},5.1.Eऋषि+{0/ने},5.1.Fमुनियों ने,5.1.Gthe seers
अभ्यागमन्,B-v,अभि+आ+गम्{कर्तरि लुङ् प्रपु बहु},अभि+आ+गम्{कर्तरि लुङ् प्रपु बहु},आए,called on
सर्वे,B-A,सर्व{1}{पुं-ब.},सर्व+{0/ने},सभी,all
वधाय,B-D,वध{4}{पुं-ए.},वध+{को4},वध के लिए,for killing
असुर-रक्षसाम्,B-F,असुररक्षस्{6}{नपुं-ब.},असुररक्षस्+{का},असुर-असुरा के,of demons
सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह (राम),he (Rama)
तेषाम्,-,तद्{6}{पुं-ब.},तद्+{का},उनके (राक्षसों के),their
प्रति-शुश्राव,-,प्रति-श्रु{कर्तरि लिट् प्रपु एक},प्रति-शुश्राव{कर्तरि लिट् प्रपु एक},स्वीकार किया,accepted
राक्षसानाम्,B-F,राक्षस{6}{पुं-ब.},राक्षस+{का},राक्षसा के (वध),of the demons
तदा,-,तदा,तदा,उसी समय,at that time
वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन में,in forest
44,-,44,44,44,44
6.1.Aप्रति-ज्ञातः,6.1.CB-A,6.1.Dप्रतिज्ञात{1}{पुं-ए.},6.1.Eप्रतिज्ञात+{0/ने},6.1.Fप्रतिज्ञा की,6.1.Gsolemnly promised
च,-,च,च,भी,also
रामेण,B-C,राम{3}{पुं-ए.},राम+{से3},दशरथ के पुत्र राम द्वारा,by Rama
वधः,B-A,वध{1}{पुं-ए.},वध+{0/ने},संहार,the killing
संयति,B-G,संयत्{7}{स्त्री-ए.},संयत्+{में/पर},युद्ध में,in an encounter
रक्षसाम्,B-F,रक्षस्{6}{नपुं-ब.},रक्षस्+{का},असुरा के,of demons
ऋषीणाम्,B-F,ऋषि{6}{पुं-ब.},ऋषि+{का},ऋषियों का,of the seers
अग्नि-कल्पानाम्,B-F,अग्नि-कल्प{6}{पुं-ब.},अग्नि-कल्प+{का},अग्नि के समान,glorious as fire
दण्डकारण्य-वासिनाम्,B-F,दण्डकारण्य-वासिन्{6}{पुं-ब.},दण्डकारण्य-वासिन्+{का},दण्डकारण्य में निवास करने वाले,dwelling in the forest of Dandaka
7.1.Aतेन,7.1.CB-C,7.1.Dतद्{3}{नपुं/पुं.-ए.},7.1.Eतद्+{से3},7.1.Fउसके (राम) द्वारा,7.1.Gby him (Rama)
तत्र,-,तत्र,तत्र,उस वन में,in forest
एव,-,एव,एव,ही,alone
वसता,B-C,वसत्{3}{पुं-ए.},वसत्+{से3},रहते हुए,while living
जनस्थान-निवासिनी,-,जनस्थान-निवासिनी{1}{स्त्री-ए.},जनस्थान-निवासिनी+{0/ने},जनस्थान में रहने वाली,dwelling in Janasthana
वि-रूपिता,-,वि-रूपिता{1}{स्त्री-ए.},वि-रूपिता+{0/ने},विरूप की गयी,lopped off
शूर्पणखा,-,शूर्पणखा{1}{स्त्री-ए.},शूर्पणखा{0/ने},शूर्पणखा,"shurpanakhaa, by name"
राक्षसी,-,राक्षसी{1}{स्त्री-ए.},राक्षसी{0/ने},राक्षसी,demoness
काम-रूपिणी,-,काम-रूपिणी{1}{स्त्री-ए.},काम-रूपिणी{0/ने},इच्छानुसार रूप बनाने वाली,capable of assuming any form at will
8.1.Aततः,8.1.CB-A,8.1.Dततः,8.1.Eततः,8.1.Fउसके बाद,8.1.Gthen
शूर्पणखा-वाक्यात्,-,शूर्पणखा-वाक्य{5}{नपुं-ए.},शूर्पणखा-वाक्य+{से},शूर्पणखा के वचन से,at the instigation of shurrpanakha
उद्युक्तान्,B-B,उद्युक्त{2}{पुं-ब.},उद्युक्त+{को2},युद्ध हेतु तत्पर,prepared for battle
सर्व-राक्षसान्,B-B,सर्व-राक्षस{2}{पुं-ब.},सर्व-राक्षस+{को2},सभी राक्षसों को,सर्व-राक्षसान्
खरं,B-B,खर{2}{पुं-ए.},खर+{को2},खरनामक,Khara by name
त्रि-शिरसं,-,त्रि-शिरस{2}{पुं-ए.},त्रि-शिरस+{को2},त्रिशिरा नामक,"Trishir,by name"
च,-,च,च,भी,also
एव,-,एव,एव,ही,alone
दूषणं,B-B,दूषण{2}{पुं-ए.},दूषण+{को2},दूषण नामक,Dushana by name
च,-,च,च,भी,also
एव,-,एव,एव,ही,alone
राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस (से),demon
47,-,47,47,47,47
9.1.Aनि-जघान,9.1.CB-v,9.1.Dनि+हन्{कर्तरि लिट् प्रपु एक},9.1.Eनि+हन्{कर्तरि लिट् प्रपु एक},9.1.Fमारा,9.1.Gkilled
रणे,-,रण{7}{पुं-ए.},रण+{में/पर},युद्ध में,in an encounter
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम ने,Rama
तेषाम्,-,तद्{6}{पुं-ब.},तद्+{का},उनके (राक्षसा के),their
च,-,च,च,भी,also
एव,-,एव,एव,ही,alone
पदानुगान्,-,पदानुग{2}{पुं-ब.},पदानुग+{को2},अनुयायियों को,followers
वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन में,in forest
तस्मिन्,B-G,तद्{7}{नपुं-ए.},तद्+{में/पर},उस में,in that place
निवसता,B-C,निवसत्{3}{पुं-ए.},निवसत्+{से3},रहते हुए,by Rama while sojourning
जन-स्थान-निवासिनाम्,-,जन-स्थान-निवासिन्{6}{पुं-ब.},जन-स्थान-निवासिन्+{का},दण्डकारण्यवासियों,living in Janasthana
10.1.Aरक्षसाम्,10.1.CB-F,10.1.Dरक्षस्{6}{नपुं-ब.},10.1.Eरक्षस्+{का},10.1.Fअसुरों के,10.1.Gof demons
नि-हतानि,-,नि-हत{1}{नपुं-ब.},नि-हत+{0/ने},मारे गए,killed
आसन्,B-v,अस्{कर्तरि लङ् प्रपु बहु},अस्{कर्तरि लङ् प्रपु बहु},थे,were
सहस्राणि,B-A,सहस्र{1}{नपुं-ब.},सहस्र+{0/ने},हजार,thousand
चतुर्दश,B-A,चतुर्दशन्{1}{नपुं-ब.},चतुर्दशन्+{0/ने},चौदह,fourteen
ततः,B-A,ततः,ततः,उसके बाद,then
ज्ञाति-वधम्,B-B,ज्ञाति-वध{2}{पुं-ए.},ज्ञाति-वध+{को2},ज्ञाति-वधम्,the killing of kinsmen
श्रुत्वा,-,श्रु{क्त्वान्तम्},श्रु{क्त्वान्तम्},सुनकर,having heard
रावणः,B-A,रावण{1}{पुं-ए.},रावण+{0/ने},रावणः,Ravana
क्रोध-मूर्च्छितः,B-A,क्रोध-मूर्छित{1}{पुं-ए.},क्रोध-मूर्छित+{0/ने},क्रोध से मूर्छित,stupefied through anger
11.1.Aसहायम्,11.1.C-,11.1.Dसहाय{2}{पुं-ए.},11.1.Eसहाय+{को2},11.1.Fसहयोग,11.1.Gthe help
वरयामास,-,वरयामास,वरयामास,मांगा,sought
मारीचम्,-,मारीच{2}{नपुं-ए.},मारीच+{को2},मारीचम्,Maricha
नाम,-,नाम{1}{नपुं-ए.},नाम+{0/ने},नाम से प्रसिद्ध,by name
राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस (से),demon
1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.Gश्लोक
2.1.Aवार्यमाणः,2.1.CB-A,2.1.Dवार्यमाण{1}{पुं-ए.},2.1.Eवार्यमाण+{0/ने},2.1.Fरोका गया,2.1.Gdiscouraged
सु-बहुशः,-,सु-बहुशः,सु-बहुशः,बार-बार,repeatedly
मारीचेन,B-C,मारीच{3}{पुं-ए.},मारीच+{से3},मारीच के द्वारा,by Marica
सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह राम,he (Rama)
रावणः,B-A,रावण{1}{पुं-ए.},रावण+{0/ने},रावण,Ravana
न,-,न,न,नहीं (है),not
विरोधः,B-A,विरोध{1}{पुं-ए.},विरोध+{0/ने},विरोध,to make enemy
बलवता,B-C,बलवत्{3}{पुं-ए.},बलवत्+{से3},बलवान्,powerful (Rama)
क्षमः,B-A,क्षम{1}{पुं-ए.},क्षम+{0/ने},उचित,advisable
रावण,B-H,रावण{8}{पुं-ए.},रावण{8}{पुं-ए.},रावण,Ravana
तेन,B-C,तद्{3}{नपुं/पुं.-ए.},तद्+{से3},उस से,in that
ते,B-A,तद्{1}{पुं-ब.},तद्+{0/ने},तुम्हारा,for you
3.1.Aअनादृत्य,3.1.C-,3.1.Dअनादृत्य,3.1.Eअनादृत्य,3.1.Fअनादृत करके,3.1.Gturning adeaf ear
तु,-,तु,तु,तु,तु
तद्वाक्यं,B-B,तद्वाक्य{2}{नपुं-ए.},तद्वाक्य+{को2},उसके वचन को,to his advice
रावणः,B-A,रावण{1}{पुं-ए.},रावण+{0/ने},रावण,Ravana
काल-चोदितः,-,काल-चोदित{1}{पुं-ए.},काल-चोदित+{0/ने},मृत्यु के द्वारा प्रेरित,impelled by death
जगाम,B-v,गम्{कर्तरि लिट् प्रपु एक},गम्{कर्तरि लिट् प्रपु एक},गया,proceeded
सह-मारीचः,-,सह-मारीच{1}{पुं-ए.},सह-मारीच+{0/ने},सह-मारीचः,along with Marica
तस्य,B-F,तद्{6}{पुं-ए.},तद्+{का},राम के,Rama's
आश्रम-पदं,-,आश्रम-पद{2}{पुं-ए.},आश्रम-पद+{को2},आश्रम स्थान को,hermitage
तदा,-,तदा,तदा,तब,then
4.1.Aतेन,4.1.CB-C,4.1.Dतद्{3}{नपुं/पुं.-ए.},4.1.Eतद्+{से3},4.1.Fउस से,4.1.Gin that
मायाविना,B-C,मायाविन्{3}{पुं-ए.},मायाविन्+{से3},मायावी के द्वारा,by the wily(Marica)
दूरम्,B-B,दूर{2}{नपुं-ए.},दूर+{को2},दूर स्थान में,afar
अपवाह्य,-,अपवाह्य,अपवाह्य,हटाकर,having removed
नृपात्मजौ,B-B,नृपात्मज{2}{पुं-द्वि.},नृपात्मज+{को2},दोना राजपुत्रा को,two princes (Rama and Lakshmana)
जहार,B-v,हृ{कर्तरि लिट् प्रपु एक},हृ{कर्तरि लिट् प्रपु एक},चुरा ले गया,stole away
भार्याम्,B-B,भार्या{2}{स्त्री-ए.},भार्या+{को2},पत्नी को,wife
रामस्य,B-F,राम{6}{पुं-ए.},राम+{का},राम की,Rama's
गृध्रम्,B-B,गृध्र{2}{पुं-ए.},गृध्र+{को2},गिद्ध,the vulture
हत्वा,-,हत्वा,हत्वा,मारकर,having killed
जटायुषम्,B-B,जटायुष{2}{पुं-ए.},जटायुष+{को2},जटायु (का),Jatayu by name
5.1.Aगृध्रम्,5.1.CB-B,5.1.Dगृध्र{2}{पुं-ए.},5.1.Eगृध्र+{को2},5.1.Fगिद्ध,5.1.Gthe vulture
च,-,च,च,और,and
नि-हतम्,-,नि-हत{1}{नपुं-ए.},नि-हत+{0/ने},मरणासन्न,mortally wounded
दृष्ट्वा,-,दृष्ट्वा,दृष्ट्वा,देख कर,having seen
हृतां,B-B,हृता{2}{स्त्री-ए.},हृता+{को2},अपहृता,forcibly carried off
श्रुत्वा,-,श्रु{क्त्वान्तम्},श्रु{क्त्वान्तम्},सुनकर,having heard
च,-,च,च,और,and
मैथिलीम्,B-B,मैथिली{2}{स्त्री-ए.},मैथिली+{को2},सीता को,Maithili (Sita)
राघवः,B-A,राघव{1}{पुं-ए.},राघव+{0/ने},राम (ने),a scion of Raghu
शोक-सन्तप्तः,-,शोक-सन्तप्त{1}{पुं-ए.},शोक-सन्तप्त+{0/ने},दुःखित,tormented with grief
वि-ललाप,-,वि-ललाप,वि-ललाप,विलाप किया,wailed loudly
आकुलेन्द्रियः,B-A,आकुलेन्द्रिय{1}{पुं-ए.},आकुलेन्द्रिय+{0/ने},व्यथित,mind agitated
6.1.Aततः,6.1.CB-A,6.1.Dततः,6.1.Eततः,6.1.Fउसके बाद,6.1.Gthen
तेन,B-C,तद्{3}{नपुं/पुं.-ए.},तद्+{से3},उस से,in that
एव,-,एव,एव,ही,also
शोकेन,B-C,शोक{3}{पुं-ए.},शोक+{से3},शोक से,in state of grief
गृध्रम्,B-B,गृध्र{2}{पुं-ए.},गृध्र+{को2},गिद्ध,the vulture
दग्ध्वा,-,दग्ध्वा,दग्ध्वा,दाह संस्कार करके,having cremated
जटायुषम्,B-B,जटायुष{2}{पुं-ए.},जटायुष+{को2},जटायु (का),Jatayu by name
मार्गमाणः,B-A,मार्गमाण{1}{पुं-ए.},मार्गमाण+{0/ने},खोजते हुए,hunting up
वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन में,in the forest
सीताम्,B-B,सीता{2}{स्त्री-ए.},सीता+{को2},सीता को,Sita
राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस को,demon
सं-ददर्श,B-v,सं-दृश्{कर्तरि लिट् प्रपु एक},सं-दृश्{कर्तरि लिट् प्रपु एक},देखा,saw
ह,-,ह,ह,(प्रसिद्धार्थक अव्यय),so the tradition goes
7.1.Aकबन्धम्,7.1.CB-B,7.1.Dकबन्ध{2}{पुं-ए.},7.1.Eकबन्ध+{को2},7.1.Fकबन्ध को,7.1.Gto Kabandha
नाम,-,नाम,नाम,नामक,by name
रूपेण,B-C,रूप{3}{नपुं-ए.},रूप+{से3},रूप से,of body
वि-कृतम्,-,वि-कृत{2}{पुं-ए.},वि-कृत+{को2},विकृत,deformed
घोर-दर्शनम्,-,घोर-दर्शन{2}{पुं-ए.},घोर-दर्शन+{को2},भयङ्कर,having terrible look
तम्,B-B,तद्{2}{पुं-ए.},तद्+{को2},उसको,him
निहत्य,-,निहत्य,निहत्य,मारकर,having killed
महा-बाहुः,B-A,महा-बाहु{1}{पुं-ए.},महा-बाहु+{0/ने},लम्बी भुजाओं वाले राम ने,the mighty armed Rama
ददाह,B-v,दह्{कर्तरि लिट् प्रपु एक},दह्{कर्तरि लिट् प्रपु एक},दहन किया,cremated
स्वः,-,स्वः,स्वः,स्वर्ग,to heaven
गतः,B-A,गत{1}{पुं-ए.},गत+{0/ने},चला गया,ascended
च,-,च,च,और,and
सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह राम,he (Rama)
8.1.Aस,8.1.C-,8.1.Dस,8.1.Eस,8.1.Fवह,8.1.Gthat
च,-,च,च,और,and
अस्य,B-F,इदम्{6}{ए.},इदम्+{का},राम को,to Rama
कथयामास,B-v,कथ+णिच्{कर्तरि लिट् प्रपु एक},कथ+णिच्{कर्तरि लिट् प्रपु एक},कहा,said
शबरीम्,B-B,शबरी{2}{स्त्री-ए.},शबरी+{को2},शबरी (के पास),to shabari
धर्म-चारिणीम्,-,धर्म-चारिणी{2}{स्त्री-ए.},धर्म-चारिणी+{को2},धर्माचरण करने वाली,to pious
श्रमणाम्,B-B,श्रमणा{2}{स्त्री-ए.},श्रमणा+{को2},सन्यासिनी,hermitess
धर्म-निपुणाम्,-,धर्म-निपुणा{2}{स्त्री-ए.},धर्म-निपुणा+{को2},धर्मशीला,well-versed in the principles of right piousness
अभि-गच्छ,-,अभि-गच्छ,अभि-गच्छ,जाओ,go
इति,-,इति,इति,ऐसा,having said that
राघव,-,राघव{8/1}{पुं-ए.},राघव{8/1}{पुं-ए.},राघव,Raghava
9.1.Aसः,9.1.CB-A,9.1.Dतद्{1}{पुं-ए.},9.1.Eतद्+{0/ने},9.1.Fवह राम,9.1.Ghe (Rama)
अभ्यगच्छत्,B-v,अभि+गम्{कर्तरि लङ् प्रपु एक},अभि+गम्{कर्तरि लङ् प्रपु एक},गया,approached
महा-तेजाः,-,महा-तेजस्{1}{पुं-ए.},महा-तेजस्+{0/ने},अत्यन्त तेजस्वी,the highly glorious
शबरीम्,B-B,शबरी{2}{स्त्री-ए.},शबरी+{को2},शबरी (के पास),to shabari
शत्रु-सूदनः,-,शत्रु-सूदन{1}{पुं-ए.},शत्रु-सूदन+{0/ने},शत्रुओं के विनाशक,the destroyer of foes
शबर्या,B-C,शबरी{3}{स्त्री-ए.},शबरी+{से3},शबरी के द्वारा,by shabari
पूजितः,B-A,पूजित{1}{पुं-ए.},पूजित+{0/ने},पूजित हुए,worshipped
सम्यक्,-,सम्यक्,सम्यक्,भली भाँति,duly
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama by name
दशरथात्मजः,B-A,दशरथात्मज{1}{पुं-ए.},दशरथात्मज+{0/ने},दशरथ पुत्र,the son of Dasharatha
10.1.Aपम्पा-तीरे,10.1.CB-G,10.1.Dपम्पा-तीर{7}{नपुं-ए.},10.1.Eपम्पा-तीर+{में/पर},10.1.Fपम्पा नामक सरोवर के किनारे,10.1.Gon the bank of pampa lake
हनुमता,B-C,हनुमत्{3}{पुं-ए.},हनुमत्+{से3},हनुमान् के साथ,with Hanuman
सङ्गतः,B-A,सङ्गत{1}{पुं-ए.},सङ्गत+{0/ने},मिला,came in contact
वानरेण,B-C,वानर{3}{पुं-ए.},वानर+{से3},बन्दर,monkey
ह,-,ह,ह,(प्रसिद्धार्थक अव्यय),so the tradition goes
